aluminium aluminum
Aluminium Aluminum
anaemia anemia
Anaemia Anemia
anaesthesia anesthesia
Anaesthesia Anesthesia
analogue analog
Analogue Analog
behaviour behavior
Behaviour Behavior
catalogue catalog
Catalogue Catalog
centre center
Centre Center
cheque check
Cheque Check
colour color
Colour Color
defence defense
Defence Defense
dialogue dialog
Dialogue Dialog
diarrhoea diarrhea
Diarrhoea Diarrhea
favourite favorite
Favourite Favorite
fibre fiber
Fibre Fiber
foetus fetus
Foetus Fetus
haemorrhage hemorrhage
Haemorrhage Hemorrhage
humour humor
Humour Humor
jewellery jewelry
Jewellery Jewelry
kerb curb
Kerb Curb
labour labor
Labour Labor
litre liter
Litre Liter
manoeuvre maneuver
Manoeuvre Maneuver
metre meter
Metre Meter
mould mold
Mould Mold
neighbour neighbor
Neighbour Neighbor
offence offense
Offence Offense
plough plow
Plough Plow
pretence pretense
Pretence Pretense
sulphur sulfur
Sulphur Sulfur
theatre theater
Theatre Theater
tyre tire
Tyre Tire
